           2  0.154161066      0.589155674    
           4  0.959985137      0.365697861    
           8  0.569483459      0.441703051    
          16   1.24776530      0.433385730    
          32  0.823444605      0.343561083    
          64   1.06693316       3.35901277E-03
         128  0.607743621     -0.313356578    
         256  0.929858446      -2.77673174E-02
         512  0.774924695      -6.67770654E-02
        1024  0.851948977       3.39652412E-02
        2048  0.808084369       1.73173826E-02
        4096  0.788528800      -1.41859800E-02
        8192  0.797685981      -1.43668847E-02
       16384  0.811509848       8.11664108E-03
       32768  0.808370054      -2.27284292E-03
       65536  0.807351887      -4.11965698E-03
      131072  0.807946920      -5.28526842E-04
      262144  0.805645943      -9.55146737E-04
      524288  0.807831824      -9.65123108E-05
     1048576  0.805655360       3.57302488E-04
     2097152  0.804296374       8.25601513E-04
     4194304  0.802219033       5.34859998E-03
     8388608  0.793712318       1.75271090E-02
    16777216  0.772490680       4.27837744E-02
    33554432  0.732090533       9.21747312E-02
    67108864  0.658883810      0.183579281    
   134217728  0.551371932      0.316635907    
   268435456  0.433683753      0.462341577    
